Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,0.9796,3.7939,1.9043,0.0161,0.5857,0.4381,0.03
Ridge Regression,0.9926,3.8318,1.9145,0.0045,0.5934,0.4715,0.34
Linear Regression,0.9955,3.8422,1.9173,0.0015,0.5947,0.4763,0.558
Lasso Least Angle Regression,0.9633,3.8525,1.9207,-0.0017,0.5919,0.2852,0.028
Dummy Regressor,0.9633,3.8525,1.9207,-0.0017,0.5919,0.2852,0.036
Lasso Regression,0.9633,3.8525,1.9207,-0.0017,0.5919,0.2852,0.472
Elastic Net,0.9633,3.8527,1.9208,-0.0018,0.5919,0.2851,0.03
Orthogonal Matching Pursuit,0.99,3.8666,1.9258,-0.009,0.5954,0.4058,0.03
Huber Regressor,0.9046,3.9007,1.9331,-0.015,0.5454,0.5475,0.048
Passive Aggressive Regressor,1.0623,4.0422,1.9727,-0.063,0.6339,0.5173,0.036
Light Gradient Boosting Machine,1.065,4.1758,2.009,-0.1066,0.6303,0.5898,0.312
CatBoost Regressor,1.0627,4.2424,2.0234,-0.1217,0.6236,0.548,0.352
Random Forest Regressor,1.0796,4.3044,2.0419,-0.149,0.6309,0.5358,0.16
Gradient Boosting Regressor,1.0465,4.3849,2.059,-0.1696,0.6138,0.4896,0.126
K Neighbors Regressor,1.0779,4.5072,2.0924,-0.206,0.6448,0.6247,0.032
Extreme Gradient Boosting,1.1537,4.8998,2.1858,-0.3281,0.6671,0.6709,0.214
Extra Trees Regressor,1.1289,5.4142,2.3089,-0.5397,0.65,0.5792,0.108
AdaBoost Regressor,1.5175,5.6205,2.3445,-0.5765,0.7937,0.7108,0.046
Decision Tree Regressor,1.3671,9.5796,3.0711,-1.75,0.7868,0.9637,0.034
Least Angle Regression,3478278344.426,1.4518098857977132e+22,53885247237.405,-1.9786175933824974e+21,3.0591,498.2862,0.028
