iter	RMSE
0	1.985823408
1	1.981531733
2	1.975332187
3	1.965563496
4	1.955243958
5	1.946685943
6	1.937248507
7	1.928450148
8	1.924792948
9	1.915325735
10	1.905985618
11	1.897281517
12	1.889061097
13	1.886022351
14	1.880379932
15	1.87783814
16	1.874380467
17	1.86747395
18	1.860098127
19	1.852313543
20	1.844474163
21	1.838219704
22	1.835879794
23	1.831662736
24	1.829435098
25	1.826435436
26	1.819873639
27	1.813289346
28	1.810966203
29	1.804548195
30	1.79880447
31	1.795736837
32	1.789783936
33	1.78636197
34	1.784073849
35	1.777430744
36	1.776054817
37	1.773913116
38	1.767707867
39	1.761834268
40	1.759214471
41	1.754297719
42	1.751673554
43	1.750278538
44	1.747626049
45	1.745467763
46	1.741712525
47	1.733748645
48	1.729068516
49	1.72358444
50	1.718693865
51	1.716011354
52	1.711103713
53	1.706417767
54	1.704803913
55	1.703372695
56	1.697451372
57	1.691891257
58	1.685613635
59	1.680489285
60	1.677462356
61	1.672672883
62	1.669954955
63	1.668418322
64	1.664545879
65	1.66000172
66	1.65524725
67	1.653158026
68	1.650528583
69	1.648182079
70	1.645534606
71	1.642471093
72	1.638490306
73	1.636186699
74	1.634472908
75	1.630224686
76	1.6286988
77	1.625422147
78	1.621614177
79	1.617770361
80	1.614246273
81	1.612262386
82	1.610731774
83	1.609508634
84	1.60611671
85	1.602669689
86	1.598881028
87	1.595242534
88	1.59399399
89	1.591187868
90	1.588016531
91	1.586582848
92	1.585132262
93	1.581381324
94	1.578746061
95	1.573176122
96	1.570307819
97	1.567675646
98	1.563506552
99	1.559574838
100	1.558505465
101	1.554884842
102	1.551927391
103	1.549983142
104	1.548610716
105	1.546180164
106	1.54467316
107	1.540338999
108	1.539413439
109	1.537748968
110	1.535890098
111	1.533714182
112	1.530798932
113	1.527553184
114	1.525659221
115	1.522906282
116	1.521367757
117	1.51948927
118	1.518003729
119	1.517232994
120	1.514689879
121	1.512208211
122	1.509900726
123	1.508772105
124	1.508276625
125	1.506742929
126	1.505594613
127	1.503907273
128	1.501435642
129	1.497904212
130	1.494205858
131	1.492695101
132	1.490595734
133	1.487910205
134	1.485436584
135	1.484129644
136	1.482529044
137	1.480528971
138	1.478297296
139	1.477776231
140	1.475583256
141	1.473247317
142	1.471116364
143	1.467573881
144	1.46443918
145	1.463464365
146	1.46198474
147	1.460157832
148	1.457913799
149	1.456311131
150	1.454881214
151	1.453973783
152	1.451753161
153	1.450928205
154	1.44867356
155	1.446585126
156	1.443958296
157	1.441906809
158	1.439001587
159	1.437309039
160	1.436127992
161	1.435297815
162	1.433849865
163	1.431029007
164	1.430568723
165	1.428314643
166	1.427707344
167	1.425952088
168	1.425116396
169	1.424157793
170	1.421687614
171	1.417268949
172	1.416673235
173	1.414862413
174	1.413364169
175	1.411176287
176	1.40921485
177	1.408341058
178	1.407564724
179	1.40540766
180	1.403901408
181	1.403338014
182	1.402657147
183	1.401240793
184	1.398368409
185	1.397309721
186	1.395930543
187	1.394469844
188	1.39340149
189	1.3911481
190	1.387604972
191	1.384102885
192	1.381041392
193	1.379651927
194	1.377493461
195	1.376618609
196	1.374204779
197	1.373832172
198	1.371677104
199	1.370629964
200	1.369825388
201	1.368615275
202	1.366507353
203	1.366308715
204	1.365892078
205	1.36337312
206	1.361466323
207	1.359547029
208	1.359048089
209	1.358619963
210	1.35575515
211	1.354774537
212	1.353106347
213	1.351812268
214	1.350943735
215	1.350075829
216	1.347621875
217	1.346728269
218	1.345697902
219	1.34541269
220	1.342608228
221	1.341513614
222	1.340758867
223	1.340487741
224	1.339681567
225	1.338050672
226	1.337743238
227	1.337451559
228	1.337084076
229	1.335834821
230	1.334537959
231	1.333130547
232	1.332624336
233	1.330590163
234	1.328989496
235	1.328231326
236	1.327938468
237	1.327599616
238	1.326052873
239	1.325113278
240	1.323335136
241	1.322622232
242	1.322457853
243	1.321844205
244	1.320396662
245	1.318973261
246	1.31702879
247	1.316309869
248	1.315224108
249	1.314841673
250	1.314600813
251	1.313082388
252	1.312789428
253	1.310367434
254	1.309876675
255	1.308078887
256	1.305587749
257	1.304980707
258	1.304268705
259	1.303369209
260	1.301994632
261	1.301316216
262	1.30109014
263	1.299705132
264	1.298410116
265	1.29643537
266	1.295154485
267	1.294962305
268	1.294332247
269	1.294095402
270	1.292330763
271	1.289827056
272	1.288089431
273	1.287600111
274	1.286951889
275	1.286122927
276	1.285234384
277	1.28481989
278	1.284058131
279	1.283887277
280	1.28170663
281	1.281476698
282	1.279240589
283	1.277596346
284	1.276293197
285	1.274678897
286	1.274498453
287	1.274394885
288	1.273791817
289	1.273456552
290	1.272624179
291	1.271954776
292	1.271368397
293	1.27091514
294	1.27069801
295	1.269960565
296	1.268587727
297	1.268380909
298	1.266156509
299	1.264529485
300	1.263715847
301	1.263162662
302	1.261525919
303	1.261181613
304	1.259617413
305	1.258202721
306	1.257984787
307	1.256044347
308	1.254853848
309	1.253305974
310	1.251804184
311	1.250399508
312	1.248488185
313	1.247603996
314	1.247479977
315	1.247165718
316	1.246455781
317	1.245480511
318	1.244381799
319	1.243650263
320	1.243509255
321	1.242814243
322	1.242744473
323	1.242659593
324	1.242310228
325	1.24149612
326	1.239838973
327	1.239627962
328	1.238492798
329	1.236935239
330	1.236385492
331	1.235049863
332	1.234911794
333	1.234825528
334	1.234697445
335	1.233433167
336	1.23238021
337	1.230963812
338	1.230318268
339	1.22933152
340	1.228369566
341	1.228294412
342	1.227544776
343	1.226873861
344	1.225534865
345	1.224065117
346	1.223989242
347	1.2226422
348	1.221683829
349	1.220896378
350	1.220643604
351	1.219181083
352	1.218289749
353	1.217536785
354	1.216075861
355	1.21500519
356	1.21409501
357	1.213535646
358	1.212196121
359	1.211201136
360	1.209759361
361	1.208379294
362	1.207775027
363	1.207090236
364	1.205259537
365	1.20339877
366	1.202300493
367	1.201805996
368	1.20044453
369	1.19997824
370	1.198098995
371	1.196977338
372	1.195731621
373	1.19516519
374	1.193950031
375	1.192958706
376	1.191535458
377	1.190609222
378	1.18930364
379	1.188625368
380	1.188159494
381	1.185592914
382	1.183967143
383	1.183757877
384	1.182183906
385	1.18085481
386	1.180512756
387	1.180088042
388	1.178676796
389	1.177685756
390	1.176692965
391	1.176484715
392	1.175442467
393	1.174436963
394	1.173850009
395	1.172269627
396	1.17122437
397	1.169857226
398	1.169682808
399	1.168419798
400	1.167243036
401	1.167072595
402	1.166626241
403	1.165744688
404	1.16528486
405	1.164839342
406	1.163568509
407	1.162363188
408	1.161750792
409	1.160398268
410	1.15953227
411	1.158382214
412	1.157153303
413	1.156075087
414	1.154935979
415	1.154216842
416	1.153346891
417	1.152300303
418	1.152223548
419	1.150891137
420	1.150485166
421	1.148894471
422	1.147760105
423	1.146884286
424	1.145556107
425	1.143757905
426	1.142505344
427	1.141946929
428	1.141736092
429	1.140984455
430	1.13933342
431	1.138881329
432	1.138504511
433	1.13789824
434	1.136822638
435	1.135992055
436	1.135955145
437	1.134733809
438	1.134034686
439	1.133162517
440	1.132001481
441	1.130990218
442	1.130031095
443	1.129272826
444	1.128654496
445	1.128519584
446	1.127646814
447	1.12448	1.134970722
449	1.13492057
450	1.134284645
451	1.13370692
452	1.13279423
453	1.132178051
454	1.130421616
455	1.129668902
456	1.128568601
457	1.127817036
458	1.126280683
459	1.125677993
460	1.124706854
461	1.124072448
462	1.123037455
463	1.121979026
464	1.121069446
465	1.119925543
466	1.119495727
467	1.118467445
468	1.117022575
469	1.116339629
470	1.115529773
471	1.115108326
472	1.114024104
473	1.113327292
474	1.112742137
475	1.112409547
476	1.111553486
477	1.110413293
478	1.109044029
479	1.107744742
480	1.106677928
481	1.105953486
482	1.105228885
483	1.10417485
484	1.103476442
485	1.102681624
486	1.101772333
487	1.100623612
488	1.100026922
489	1.099387494
490	1.098645482
491	1.097540524
492	1.096913882
493	1.095947946
494	1.095144612
495	1.094453968
496	1.093556411
497	1.093120254
498	1.092447851
499	1.091845894
500	1.090884541
501	1.090235441
502	1.089346629
503	1.088645618
504	1.088486378
505	1.087610871
506	1.086282179
507	1.085449506
508	1.085264762
509	1.084678276
510	1.08347432
511	1.082830672
512	1.081902757
513	1.080679633
514	1.080219123
515	1.079143002
516	1.077917391
517	1.077194094
518	1.075873625
519	1.075231171
520	1.074704511
521	1.073552907
522	1.072737913
523	1.072010767
524	1.07158805
525	1.071247648
526	1.070624296
527	1.069934087
528	1.068887215
529	1.068215321
530	1.06733388
531	1.065894928
532	1.065309043
533	1.064532621
534	1.064267738
535	1.064237515
536	1.063523937
537	1.062884891
538	1.062159914
539	1.062112713
540	1.061505476
541	1.060659673
542	1.059106854
543	1.057886176
544	1.057221482
545	1.056541039
546	1.055869646
547	1.055842194
548	1.054385554
549	1.053253154
550	1.052600637
551	1.052466069
552	1.051548662
553	1.050265315
554	1.049512736
555	1.049365179
556	1.048385137
557	1.047780917
558	1.047162408
559	1.045957466
560	1.04577788
561	1.044918842
562	1.044184955
563	1.043293413
564	1.042818152
565	1.04174819
566	1.041091366
567	1.04060967
568	1.039722656
569	1.039157934
570	1.038391671
571	1.037402275
572	1.036745418
573	1.036138778
574	1.035783842
575	1.035070195
576	1.034413067
577	1.03378076
578	1.033492154
579	1.032646824
580	1.03229861
581	1.032266708
582	1.031553446
583	1.031267031
584	1.03018324
585	1.029414023
586	1.029034568
587	1.028418443
588	1.028006509
589	1.027513448
590	1.026569031
591	1.025984507
592	1.024739181
593	1.024349136
594	1.023917238
595	1.022533671
596	1.022044949
597	1.021480192
598	1.020540286
599	1.019597959
600	1.019498063
601	1.018820787
602	1.018272223
603	1.017251485
604	1.016567368
605	1.015905789
606	1.015404954
607	1.015181752
608	1.01417011
609	1.014146896
610	1.013855025
611	1.013287306
612	1.012548002
613	1.011786578
614	1.011744325
615	1.011230662
616	1.010184394
617	1.009707656
618	1.009607745
619	1.008845153
620	1.00792719
621	1.007318961
622	1.006643238
623	1.006162045
624	1.00568766
625	1.004731809
626	1.00433964
627	1.003303596
628	1.002739334
629	1.002087546
630	1.001633393
631	1.001581391
632	0.9996701325
633	0.9988880714
634	0.9981505299
635	0.9970852969
636	0.996368653
637	0.9958155916
638	0.9951572304
639	0.9943313586
640	0.9937299242
641	0.9932150635
642	0.9928067473
643	0.9921605446
644	0.9918434274
645	0.9918210355
646	0.9907841695
647	0.9902696966
648	0.9897719975
649	0.9891264048
650	0.98813622
651	0.9873507014
652	0.9865424677
653	0.9860506284
654	0.9857634645
655	0.9851634208
656	0.9846327266
657	0.984141541
