_id,ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ
1,2026,46023,0:01,46029,9:30,กรมทางหลวง,ทางหลวง,2370,นิคมคำสร้อย - หนองสูง,1.15,มุกดาหาร,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถย้อนศร,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,16.38133465,104.5446717,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,
2,2026,46023,0:03,46023,10:16,กรมทางหลวง,ทางหลวง,6,พญาเย็น - นครราชสีมา,139.7,นครราชสีมา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.85307867,101.5786269,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
3,2026,46023,0:05,46077,11:27,กรมทางหลวง,ทางหลวง,1001,บ้านโป่ง - พร้าว,34.8,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,19.08935245,98.98975161,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,
4,2026,46023,0:10,46025,4:54,กรมทางหลวง,ทางหลวง,3056,บ้านหว้า - อุทัย,8.05,อยุธยา,รถจักรยานยนต์,,ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร,ชนเป็นมุมบริเวณทางแยก,แจ่มใส,14.32426402,100.6521598,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
5,2026,46023,0:10,46025,13:15,กรมทางหลวงชนบท,ทางหลวงชนบท,ปน.3060,แยกทางหลวงหมายเลข 409 (กม.ที่ 7+204) - น้ำตกทรายขาว,2,ปัตตานี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,6.676034,101.128955,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
6,2026,46023,0:15,46024,7:07,กรมทางหลวงชนบท,ทางหลวงชนบท,นม.4040,แยกทางหลวงหมายเลข 2365 (กม.ที่ 0+000) - บ้านโคกใบบัว,7.25,นครราชสีมา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,,แจ่มใส,14.418414,102.28885,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,
7,2026,46023,0:20,46026,8:52,กรมทางหลวง,ทางหลวง,4028,ห้าแยกฉลอง - กะรน,0.75,ภูเก็ต,คนเดินเท้า,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,ชนคนเดินเท้า,แจ่มใส,7.823737679,98.33422979,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,
8,2026,46023,0:30,46023,9:02,กรมทางหลวง,ทางหลวง,12,กลางสะพานมิตรภาพที่แม่สอด(เขตแดนไทย/พม่า) - แม่ละเมา,8.3,ตาก,รถปิคอัพบรรทุก 4 ล้อ,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,16.72356007,98.58414039,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9,2026,46023,0:30,46023,14:50,กรมทางหลวง,ทางหลวง,1202,พะเยา - สันต้นแหน,6.841,พะเยา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,19.21317907,99.94911374,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
10,2026,46023,0:30,46023,20:54,กรมทางหลวง,ทางหลวง,4081,ท่านางพรหม - จงเก,11.5,พัทลุง,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.468372491,100.1745562,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
